type, client, tx, amount
withdrawal, 9, 1922, 448.2400
deposit, 28, 1923, 708.9788
withdrawal, 3, 1924, 4892.5830
deposit, 18, 1925, 3739.1169
deposit, 19, 1926, 4513.9634
withdrawal, 49, 1927, 4633.5844
deposit, 28, 1928, 4463.3591
deposit, 32, 1929, 3818.3771
deposit, 43, 1930, 3183.2610
deposit, 13, 1931, 743.1041
deposit, 3, 1932, 2351.2377
deposit, 30, 1933, 2182.1494
deposit, 32, 1934, 203.9586
withdrawal, 46, 1935, 2804.2726
dispute, 8, 232,
dispute, 23, 472,
dispute, 11, 1727,
withdrawal, 43, 1936, 2928.3871
withdrawal, 1, 1937, 2630.0771
deposit, 27, 1938, 4602.0660
resolve, 32, 203,
withdrawal, 19, 1939, 3406.5618
resolve, 26, 183,
deposit, 21, 1940, 768.8774
withdrawal, 46, 1941, 3297.6966
deposit, 18, 1942, 2971.0213
resolve, 3, 122,
resolve, 47, 1601,
dispute, 37, 1025,
withdrawal, 21, 1943, 3990.7349
deposit, 36, 1944, 4759.5009
deposit, 26, 1945, 1275.8196
deposit, 50, 1946, 4327.5776
dispute, 14, 1467,
withdrawal, 42, 1947, 3762.7929
dispute, 8, 1155,
deposit, 44, 1948, 3017.5681
withdrawal, 7, 1949, 4160.2644
deposit, 32, 1950, 2227.2121
deposit, 18, 1951, 2815.2854
deposit, 49, 1952, 2112.6818
deposit, 12, 1953, 2170.5297
deposit, 3, 1954, 2566.7073
withdrawal, 44, 1955, 1121.1511
withdrawal, 10, 1956, 4653.3381
deposit, 42, 1957, 2623.3890
dispute, 28, 1376,
withdrawal, 10, 1958, 4920.9312
withdrawal, 20, 1959, 4207.6898
withdrawal, 19, 1960, 2842.6785
withdrawal, 3, 1961, 2567.0726
withdrawal, 27, 1962, 472.4219
deposit, 37, 1963, 4064.1238
withdrawal, 38, 1964, 408.8479
withdrawal, 8, 1965, 3702.5809
deposit, 12, 1966, 4214.5491
deposit, 27, 1967, 4383.7767
dispute, 38, 1644,
deposit, 40, 1968, 4039.1704
deposit, 12, 1969, 1055.3419
withdrawal, 39, 1970, 1296.5884
deposit, 28, 1971, 2671.8801
withdrawal, 8, 1972, 66.5231
dispute, 30, 1669,
withdrawal, 47, 1973, 2433.6125
withdrawal, 40, 1974, 1803.6440
dispute, 45, 457,
deposit, 9, 1975, 675.5698
deposit, 2, 1976, 3480.1622
withdrawal, 2, 1977, 1046.1475
dispute, 42, 1893,
deposit, 35, 1978, 954.5723
deposit, 30, 1979, 740.8283
deposit, 8, 1980, 830.5275
withdrawal, 45, 1981, 2226.3298
withdrawal, 2, 1982, 4298.9822
dispute, 13, 1739,
deposit, 4, 1983, 1669.2503
deposit, 46, 1984, 2158.9398
withdrawal, 32, 1985, 3685.3916
deposit, 36, 1986, 4995.1318
withdrawal, 26, 1987, 2430.5049
resolve, 40, 1530,
deposit, 32, 1988, 1159.5290
deposit, 2, 1989, 2110.0228
withdrawal, 5, 1990, 1339.2444
withdrawal, 31, 1991, 584.7038
withdrawal, 42, 1992, 1733.8206
withdrawal, 2, 1993, 806.6673
deposit, 31, 1994, 1719.2370
withdrawal, 15, 1995, 2938.2936
withdrawal, 39, 1996, 4267.2690
deposit, 30, 1997, 655.7929
deposit, 46, 1998, 1951.8562
deposit, 44, 1999, 3262.5010
dispute, 31, 1420,
withdrawal, 14, 2000, 1412.2861
deposit, 43, 2001, 2414.4489
deposit, 11, 2002, 3028.7451
withdrawal, 27, 2003, 4715.2735
deposit, 16, 2004, 1047.1648
deposit, 2, 2005, 1793.9338
dispute, 44, 1999,
deposit, 33, 2006, 159.8501
deposit, 28, 2007, 569.8466
deposit, 36, 2008, 1120.4783
dispute, 22, 1842,
dispute, 18, 1374,
withdrawal, 39, 2009, 3347.4295
deposit, 29, 2010, 3994.9344
deposit, 49, 2011, 554.6543
dispute, 40, 526,
deposit, 36, 2012, 209.8473
deposit, 41, 2013, 590.2968
deposit, 24, 2014, 785.1628
withdrawal, 29, 2015, 3809.8235
deposit, 7, 2016, 771.4787
deposit, 9, 2017, 614.9174
deposit, 27, 2018, 3846.0965
withdrawal, 31, 2019, 1706.6004
withdrawal, 6, 2020, 1330.0782
withdrawal, 27, 2021, 1803.2171
withdrawal, 10, 2022, 3766.0313
deposit, 15, 2023, 689.9717
resolve, 27, 1074,
dispute, 2, 1976,
deposit, 34, 2024, 4718.2142
dispute, 21, 1075,
deposit, 4, 2025, 1966.3314
withdrawal, 42, 2026, 754.7606
dispute, 41, 755,
resolve, 19, 1448,
deposit, 20, 2027, 3607.7552
deposit, 23, 2028, 39.5113
deposit, 34, 2029, 3052.0054
deposit, 26, 2030, 2230.9453
withdrawal, 35, 2031, 3121.7984
resolve, 29, 1320,
deposit, 42, 2032, 2022.5286
withdrawal, 20, 2033, 421.4047
withdrawal, 25, 2034, 3625.4934
withdrawal, 9, 2035, 2602.3486
withdrawal, 14, 2036, 464.0979
withdrawal, 34, 2037, 1703.5445
dispute, 2, 1661,
dispute, 17, 1888,
deposit, 28, 2038, 4934.7735
deposit, 4, 2039, 4207.9172
deposit, 33, 2040, 1772.3668
deposit, 42, 2041, 4706.7152
withdrawal, 37, 2042, 3684.2935
deposit, 16, 2043, 4026.9378
resolve, 37, 1025,
deposit, 39, 2044, 1169.1896
withdrawal, 43, 2045, 3923.9463
deposit, 44, 2046, 699.8575
deposit, 48, 2047, 1238.1667
dispute, 38, 1751,
deposit, 7, 2048, 732.7664
deposit, 27, 2049, 409.7359
deposit, 9, 2050, 2381.2654
deposit, 24, 2051, 3384.1122
deposit, 36, 2052, 2594.7250
withdrawal, 17, 2053, 2921.5189
resolve, 29, 1240,
deposit, 27, 2054, 4119.0592
withdrawal, 9, 2055, 2423.8221
withdrawal, 46, 2056, 2565.9275
withdrawal, 45, 2057, 1063.2128
withdrawal, 48, 2058, 784.1986
deposit, 8, 2059, 3008.0011
deposit, 8, 2060, 1847.9299
deposit, 34, 2061, 766.5226
withdrawal, 24, 2062, 1516.3005
withdrawal, 10, 2063, 710.6991
deposit, 4, 2064, 4684.1033
dispute, 19, 1576,
deposit, 1, 2065, 611.6396
withdrawal, 3, 2066, 2087.8758
deposit, 37, 2067, 2261.8722
withdrawal, 25, 2068, 2376.1378
deposit, 39, 2069, 664.0481
deposit, 41, 2070, 2304.6809
withdrawal, 29, 2071, 744.9130
withdrawal, 6, 2072, 3999.0581
resolve, 27, 316,
withdrawal, 35, 2073, 229.0987
withdrawal, 29, 2074, 3679.5640
withdrawal, 11, 2075, 3536.0432
withdrawal, 50, 2076, 3536.9943
deposit, 8, 2077, 3219.5710
dispute, 40, 1904,
withdrawal, 34, 2078, 946.9794
resolve, 2, 1661,
deposit, 2, 2079, 1374.8127
withdrawal, 46, 2080, 4194.5872
withdrawal, 6, 2081, 4034.6051
withdrawal, 26, 2082, 2944.4652
deposit, 2, 2083, 1699.7828
deposit, 2, 2084, 4298.2421
deposit, 17, 2085, 455.1255
deposit, 35, 2086, 840.7800
deposit, 17, 2087, 3841.5235
deposit, 27, 2088, 3393.0429
withdrawal, 21, 2089, 907.2893
deposit, 20, 2090, 1949.6986
deposit, 27, 2091, 4465.0551
deposit, 8, 2092, 259.3907
withdrawal, 39, 2093, 2930.1454
resolve, 49, 645,
withdrawal, 4, 2094, 1591.6823
deposit, 5, 2095, 2420.8576
deposit, 15, 2096, 4568.6755
withdrawal, 36, 2097, 4817.3734
withdrawal, 16, 2098, 3814.8915
deposit, 9, 2099, 1523.0643
withdrawal, 6, 2100, 4231.3893
deposit, 10, 2101, 1866.5262
deposit, 16, 2102, 2687.6782
deposit, 36, 2103, 2258.7101
withdrawal, 30, 2104, 4805.5722
deposit, 42, 2105, 4860.4090
deposit, 31, 2106, 1366.5148
deposit, 44, 2107, 1900.7676
dispute, 41, 411,
withdrawal, 3, 2108, 807.0816
deposit, 5, 2109, 1503.1918
withdrawal, 8, 2110, 4152.4906
deposit, 18, 2111, 4391.3965
deposit, 33, 2112, 4787.0859
withdrawal, 44, 2113, 4727.0423
deposit, 49, 2114, 3538.7705
deposit, 43, 2115, 4915.1097
deposit, 30, 2116, 4794.9634
resolve, 45, 934,
withdrawal, 1, 2117, 4507.2250
withdrawal, 27, 2118, 2778.9533
withdrawal, 32, 2119, 3812.3262
withdrawal, 42, 2120, 3256.3324
deposit, 43, 2121, 2225.8839
deposit, 25, 2122, 4137.3342
dispute, 12, 114,
resolve, 8, 1155,
deposit, 1, 2123, 1107.6039
withdrawal, 18, 2124, 3402.7718
withdrawal, 13, 2125, 449.8327
deposit, 20, 2126, 4042.0725
deposit, 32, 2127, 4836.4825
withdrawal, 32, 2128, 4522.5380
deposit, 14, 2129, 35.6771
dispute, 41, 1303,
withdrawal, 33, 2130, 2470.0567
withdrawal, 43, 2131, 3694.0742
deposit, 39, 2132, 2825.7012
deposit, 9, 2133, 3729.8672
resolve, 37, 539,
deposit, 13, 2134, 4238.3359
withdrawal, 45, 2135, 3388.6723
withdrawal, 44, 2136, 2800.5799
resolve, 28, 1376,
deposit, 21, 2137, 2162.7409
withdrawal, 18, 2138, 608.5886
dispute, 32, 947,
deposit, 4, 2139, 1389.6652
deposit, 29, 2140, 1581.2099
withdrawal, 22, 2141, 409.0446
deposit, 2, 2142, 4951.3232
deposit, 45, 2143, 2119.1013
deposit, 16, 2144, 984.3842
deposit, 5, 2145, 3129.9735
deposit, 31, 2146, 2159.7448
dispute, 41, 383,
resolve, 7, 42,
deposit, 22, 2147, 2598.3753
withdrawal, 5, 2148, 3878.7474
deposit, 49, 2149, 478.3538
deposit, 8, 2150, 427.6736
deposit, 3, 2151, 1886.9757
deposit, 45, 2152, 325.1412
withdrawal, 29, 2153, 273.9442
withdrawal, 28, 2154, 328.9514
dispute, 36, 1510,
deposit, 7, 2155, 3086.5099
withdrawal, 39, 2156, 3937.3741
dispute, 30, 1831,
withdrawal, 40, 2157, 506.3897
withdrawal, 44, 2158, 3914.6457
deposit, 22, 2159, 2939.0668
deposit, 1, 2160, 2975.8756
deposit, 13, 2161, 4521.8500
deposit, 33, 2162, 1281.4306
deposit, 47, 2163, 3104.2545
deposit, 9, 2164, 3985.1279
withdrawal, 20, 2165, 2922.6115
deposit, 42, 2166, 3771.8682
deposit, 35, 2167, 3877.4783
deposit, 20, 2168, 3016.6475
withdrawal, 1, 2169, 2588.4030
withdrawal, 10, 2170, 286.5883
deposit, 36, 2171, 4293.5110
withdrawal, 13, 2172, 4882.5539
deposit, 13, 2173, 3926.3191
withdrawal, 43, 2174, 2378.6254
deposit, 30, 2175, 2998.8116
deposit, 38, 2176, 2830.4846
deposit, 20, 2177, 2093.4765
resolve, 30, 719,
withdrawal, 15, 2178, 4599.7680
withdrawal, 45, 2179, 1151.3701
dispute, 16, 674,
deposit, 48, 2180, 1879.5591
deposit, 1, 2181, 1814.0858
deposit, 2, 2182, 2773.4581
withdrawal, 29, 2183, 972.0173
deposit, 49, 2184, 1799.5462
deposit, 13, 2185, 989.1251
deposit, 17, 2186, 3594.1834
deposit, 36, 2187, 1229.8214
resolve, 12, 114,
withdrawal, 44, 2188, 686.2178
deposit, 8, 2189, 1691.9165
dispute, 30, 1979,
deposit, 11, 2190, 4705.8088
dispute, 40, 482,
resolve, 8, 232,
withdrawal, 13, 2191, 2662.7736
deposit, 21, 2192, 2997.7459
dispute, 16, 2043,
deposit, 13, 2193, 4272.1772
deposit, 10, 2194, 1638.4031
dispute, 18, 1648,
deposit, 32, 2195, 1046.1879
withdrawal, 31, 2196, 3954.9861
dispute, 11, 2002,
withdrawal, 49, 2197, 2545.7926
withdrawal, 30, 2198, 894.9927
withdrawal, 34, 2199, 3472.5484
withdrawal, 32, 2200, 2368.7908
withdrawal, 41, 2201, 4605.9261
deposit, 3, 2202, 1035.9981
deposit, 29, 2203, 4315.8413
deposit, 20, 2204, 2125.1143
deposit, 11, 2205, 4677.4945
dispute, 36, 1282,
deposit, 29, 2206, 2594.1037
withdrawal, 3, 2207, 2326.2656
deposit, 28, 2208, 2255.7561
deposit, 24, 2209, 4022.5223
deposit, 25, 2210, 123.5911
deposit, 17, 2211, 3226.7743
withdrawal, 6, 2212, 1472.5892
dispute, 35, 589,
deposit, 7, 2213, 592.9395
deposit, 35, 2214, 1001.5331
withdrawal, 22, 2215, 1250.1183
deposit, 50, 2216, 3417.6967
deposit, 46, 2217, 3020.1703
withdrawal, 49, 2218, 3580.9268
deposit, 17, 2219, 42.6695
deposit, 23, 2220, 3915.6413
dispute, 26, 70,
deposit, 31, 2221, 3270.4552
deposit, 10, 2222, 4327.3306
withdrawal, 47, 2223, 3745.6854
withdrawal, 34, 2224, 2935.0182
withdrawal, 30, 2225, 3612.5518
deposit, 6, 2226, 1565.3742
deposit, 50, 2227, 4709.6489
withdrawal, 29, 2228, 2249.8597
dispute, 24, 1239,
dispute, 48, 1814,
deposit, 23, 2229, 1699.1113
dispute, 44, 1639,
withdrawal, 35, 2230, 1498.1861
resolve, 37, 187,
dispute, 22, 2159,
deposit, 26, 2231, 4900.8606
deposit, 26, 2232, 318.5463
withdrawal, 31, 2233, 543.1919
deposit, 29, 2234, 3195.0166
withdrawal, 11, 2235, 521.5660
withdrawal, 3, 2236, 4132.3742
deposit, 2, 2237, 933.4606
deposit, 25, 2238, 1419.0882
withdrawal, 43, 2239, 2621.9785
deposit, 24, 2240, 2592.6584
deposit, 27, 2241, 1955.5264
withdrawal, 9, 2242, 2682.2651
resolve, 5, 897,
deposit, 9, 2243, 4352.2454
deposit, 46, 2244, 3323.9633
withdrawal, 37, 2245, 4695.7713
withdrawal, 33, 2246, 3583.8603
deposit, 13, 2247, 37.2166
withdrawal, 5, 2248, 4122.9131
resolve, 16, 614,
deposit, 30, 2249, 2313.4773
resolve, 6, 501,
withdrawal, 23, 2250, 3501.5827
dispute, 20, 533,
deposit, 27, 2251, 1245.6742
deposit, 47, 2252, 2160.3831
withdrawal, 43, 2253, 917.2217
deposit, 26, 2254, 3493.2238
withdrawal, 11, 2255, 1368.8815
deposit, 19, 2256, 3333.2847
deposit, 47, 2257, 3612.0470
dispute, 32, 279,
deposit, 24, 2258, 382.6683
deposit, 50, 2259, 3897.5532
withdrawal, 11, 2260, 1263.8332
withdrawal, 30, 2261, 133.5895
deposit, 44, 2262, 3748.6807
deposit, 48, 2263, 1996.7092
deposit, 3, 2264, 53.6869
withdrawal, 9, 2265, 1635.5519
deposit, 32, 2266, 2306.7850
resolve, 43, 295,
dispute, 31, 529,
deposit, 2, 2267, 3034.9428
deposit, 8, 2268, 2673.2692
deposit, 5, 2269, 3356.9608
deposit, 18, 2270, 767.4825
resolve, 14, 1456,
deposit, 14, 2271, 2210.2908
withdrawal, 41, 2272, 4057.5591
deposit, 46, 2273, 3300.2021
deposit, 45, 2274, 1541.6213
deposit, 1, 2275, 243.3236
deposit, 13, 2276, 4644.1028
deposit, 16, 2277, 999.9285
deposit, 2, 2278, 4946.4531
deposit, 13, 2279, 3399.7977
dispute, 7, 181,
deposit, 47, 2280, 835.2364
deposit, 7, 2281, 4078.1217
deposit, 41, 2282, 947.7378
deposit, 35, 2283, 1975.3197
deposit, 15, 2284, 1068.9000
withdrawal, 12, 2285, 74.9730
withdrawal, 1, 2286, 1945.9334
deposit, 5, 2287, 3289.8085
deposit, 40, 2288, 1844.8999
dispute, 14, 1658,
dispute, 7, 2213,
resolve, 37, 811,
withdrawal, 21, 2289, 4907.0795
dispute, 44, 296,
dispute, 22, 1458,
deposit, 43, 2290, 2410.6519
deposit, 39, 2291, 4560.5163
deposit, 33, 2292, 3202.9598
deposit, 38, 2293, 3523.1457
resolve, 2, 1976,
dispute, 16, 2102,
deposit, 6, 2294, 299.6152
deposit, 19, 2295, 1010.0590
resolve, 42, 1893,
deposit, 29, 2296, 3696.2782
dispute, 18, 102,
deposit, 34, 2297, 3958.8989
deposit, 19, 2298, 3752.7546
deposit, 47, 2299, 1656.3514
resolve, 35, 76,
deposit, 44, 2300, 3481.3903
deposit, 25, 2301, 2607.3597
dispute, 41, 59,
deposit, 13, 2302, 260.5344
deposit, 14, 2303, 627.8051
resolve, 36, 111,
withdrawal, 33, 2304, 390.8227
deposit, 20, 2305, 820.7941
deposit, 28, 2306, 882.1776
deposit, 19, 2307, 2882.1092
dispute, 13, 393,
deposit, 24, 2308, 1991.2224
withdrawal, 29, 2309, 2113.4863
dispute, 28, 2208,
deposit, 31, 2310, 99.0555
resolve, 6, 444,
deposit, 36, 2311, 3633.2412
deposit, 30, 2312, 1529.2365
deposit, 36, 2313, 3030.1268
deposit, 9, 2314, 3574.3169
dispute, 13, 1756,
deposit, 32, 2315, 2022.7764
deposit, 26, 2316, 4852.4632
deposit, 32, 2317, 1539.0542
deposit, 5, 2318, 2043.9380
withdrawal, 8, 2319, 1924.1301
resolve, 13, 1756,
withdrawal, 49, 2320, 3611.2265
deposit, 32, 2321, 3174.8988
resolve, 4, 64,
resolve, 16, 513,
deposit, 41, 2322, 3532.7948
deposit, 43, 2323, 3226.6677
deposit, 30, 2324, 4721.3261
resolve, 16, 153,
deposit, 1, 2325, 583.6533
deposit, 46, 2326, 4584.4143
deposit, 38, 2327, 4870.7280
deposit, 13, 2328, 4380.0308
deposit, 28, 2329, 1264.3563
deposit, 35, 2330, 3292.4303
dispute, 20, 2177,
withdrawal, 6, 2331, 546.3704
deposit, 23, 2332, 4071.1401
deposit, 14, 2333, 4650.0843
deposit, 20, 2334, 32.1016
deposit, 32, 2335, 7.8930
deposit, 45, 2336, 2089.1981
deposit, 19, 2337, 3665.2112
deposit, 24, 2338, 932.0003
resolve, 32, 1474,
deposit, 37, 2339, 4071.8523
dispute, 4, 537,
dispute, 17, 1400,
deposit, 41, 2340, 4564.8570
deposit, 41, 2341, 830.6307
deposit, 25, 2342, 623.4080
withdrawal, 2, 2343, 2928.2320
deposit, 44, 2344, 3802.6680
deposit, 18, 2345, 3758.9935
deposit, 38, 2346, 3946.0359
deposit, 14, 2347, 2611.6728
deposit, 39, 2348, 2600.3707
withdrawal, 18, 2349, 4660.6419
deposit, 22, 2350, 3021.8578
deposit, 44, 2351, 4450.7610
withdrawal, 16, 2352, 4704.9552
deposit, 25, 2353, 3054.0453
deposit, 22, 2354, 4031.3510
dispute, 45, 752,
dispute, 2, 1629,
deposit, 45, 2355, 3757.1987
withdrawal, 29, 2356, 3091.7585
withdrawal, 31, 2357, 2574.5701
resolve, 1, 893,
dispute, 2, 1850,
withdrawal, 44, 2358, 2221.5309
dispute, 26, 1208,
resolve, 28, 2208,
resolve, 43, 784,
withdrawal, 19, 2359, 3035.8691
dispute, 34, 2024,
withdrawal, 33, 2360, 158.7288
withdrawal, 6, 2361, 1506.7416
withdrawal, 36, 2362, 4936.0980
withdrawal, 29, 2363, 4775.2561
deposit, 35, 2364, 1204.5081
withdrawal, 49, 2365, 4721.0494
withdrawal, 7, 2366, 2174.4671
deposit, 11, 2367, 4645.0174
deposit, 25, 2368, 3831.5441
resolve, 17, 1400,
withdrawal, 43, 2369, 678.7822
dispute, 47, 1260,
dispute, 15, 1144,
deposit, 5, 2370, 3219.9327
withdrawal, 46, 2371, 3714.8391
withdrawal, 42, 2372, 3210.5110
deposit, 28, 2373, 4042.2374
deposit, 8, 2374, 1454.8826
resolve, 22, 2159,
deposit, 8, 2375, 2864.1951
withdrawal, 21, 2376, 4770.3431
withdrawal, 1, 2377, 1553.9946
deposit, 13, 2378, 4235.5930
dispute, 21, 2192,
withdrawal, 9, 2379, 2598.7570
deposit, 15, 2380, 532.9297
dispute, 30, 1046,
withdrawal, 15, 2381, 2499.1634
withdrawal, 39, 2382, 1416.9642
deposit, 45, 2383, 171.7194
deposit, 33, 2384, 4951.6756
withdrawal, 46, 2385, 2869.8598
withdrawal, 14, 2386, 2475.1277
dispute, 25, 552,
withdrawal, 46, 2387, 1053.0655
deposit, 15, 2388, 3502.0371
withdrawal, 50, 2389, 895.1012
dispute, 26, 692,
deposit, 2, 2390, 2739.7146
deposit, 44, 2391, 2367.1081
withdrawal, 26, 2392, 1955.3155
resolve, 19, 1576,
deposit, 26, 2393, 486.5979
deposit, 38, 2394, 4329.2772
withdrawal, 46, 2395, 1520.3701
withdrawal, 37, 2396, 687.8049
deposit, 19, 2397, 4486.0904
withdrawal, 48, 2398, 978.2754
withdrawal, 24, 2399, 3629.7876
dispute, 44, 1914,
deposit, 28, 2400, 3397.2264
deposit, 4, 2401, 480.2387
deposit, 12, 2402, 4725.3160
withdrawal, 33, 2403, 3250.4891
deposit, 10, 2404, 3134.8628
deposit, 3, 2405, 594.0128
resolve, 20, 882,
withdrawal, 48, 2406, 1876.8583
dispute, 43, 2323,
withdrawal, 42, 2407, 1910.5047
deposit, 29, 2408, 1836.6153
withdrawal, 6, 2409, 610.2579
withdrawal, 33, 2410, 1124.6753
withdrawal, 37, 2411, 2397.4919
deposit, 7, 2412, 3971.7186
withdrawal, 31, 2413, 4999.7710
deposit, 20, 2414, 2857.1155
dispute, 5, 1763,
withdrawal, 12, 2415, 2026.6526
withdrawal, 26, 2416, 2780.3009
withdrawal, 34, 2417, 2442.8164
dispute, 38, 2394,
deposit, 8, 2418, 3767.5411
deposit, 43, 2419, 4488.0115
deposit, 39, 2420, 3476.0795
deposit, 29, 2421, 4002.5649
withdrawal, 9, 2422, 2875.4052
dispute, 6, 79,
withdrawal, 6, 2423, 4899.6422
deposit, 24, 2424, 4831.3808
deposit, 43, 2425, 0.4279
deposit, 34, 2426, 4523.0976
withdrawal, 35, 2427, 2224.6015
resolve, 45, 690,
deposit, 39, 2428, 2691.0475
deposit, 7, 2429, 3313.0850
deposit, 3, 2430, 940.3683
withdrawal, 14, 2431, 4787.1146
deposit, 14, 2432, 2958.9157
deposit, 47, 2433, 3111.5638
withdrawal, 17, 2434, 1303.3723
deposit, 11, 2435, 2000.2969
resolve, 17, 1888,
withdrawal, 35, 2436, 1018.8146
withdrawal, 18, 2437, 4976.7963
withdrawal, 13, 2438, 3572.2249
withdrawal, 42, 2439, 4102.5411
deposit, 27, 2440, 4107.8390
deposit, 28, 2441, 1894.7096
deposit, 16, 2442, 387.6231
deposit, 8, 2443, 3419.8963
deposit, 22, 2444, 3200.8875
deposit, 22, 2445, 3890.3548
deposit, 15, 2446, 1368.2340
deposit, 15, 2447, 1893.1618
withdrawal, 8, 2448, 878.6569
dispute, 20, 446,
withdrawal, 34, 2449, 1744.5011
withdrawal, 19, 2450, 2757.7112
resolve, 4, 1311,
withdrawal, 12, 2451, 1725.8645
resolve, 35, 861,
deposit, 31, 2452, 2961.5507
deposit, 44, 2453, 2567.8271
withdrawal, 9, 2454, 713.3508
withdrawal, 18, 2455, 264.3232
deposit, 24, 2456, 3537.5121
withdrawal, 39, 2457, 2091.2188
dispute, 29, 1830,
deposit, 19, 2458, 1379.1149
dispute, 46, 753,
resolve, 41, 755,
deposit, 50, 2459, 1563.6846
deposit, 6, 2460, 383.4662
deposit, 6, 2461, 825.5657
resolve, 48, 1430,
deposit, 28, 2462, 3385.1653
withdrawal, 9, 2463, 2398.2798
withdrawal, 44, 2464, 4440.4027
deposit, 26, 2465, 69.5014
deposit, 48, 2466, 36.4514
deposit, 35, 2467, 3748.3398
resolve, 48, 1814,
deposit, 39, 2468, 2243.2603
deposit, 49, 2469, 2617.5821
deposit, 5, 2470, 1835.2547
deposit, 23, 2471, 4762.4180
deposit, 25, 2472, 852.4199
deposit, 22, 2473, 4570.2259
dispute, 35, 1337,
deposit, 20, 2474, 2415.6235
withdrawal, 1, 2475, 3690.1286
resolve, 14, 1478,
deposit, 33, 2476, 4128.6370
dispute, 30, 158,
withdrawal, 23, 2477, 29.4556
deposit, 20, 2478, 1769.4638
deposit, 47, 2479, 930.7886
deposit, 7, 2480, 2154.0191
deposit, 34, 2481, 2571.5930
deposit, 8, 2482, 4565.5456
deposit, 50, 2483, 3283.1673
deposit, 26, 2484, 1871.5474
deposit, 12, 2485, 2682.1370
deposit, 29, 2486, 3281.3983
deposit, 9, 2487, 1768.6890
withdrawal, 23, 2488, 4417.8813
deposit, 8, 2489, 947.8354
deposit, 26, 2490, 2105.2789
deposit, 3, 2491, 801.5626
deposit, 31, 2492, 4798.4943
withdrawal, 8, 2493, 2105.4767
deposit, 44, 2494, 3571.6048
deposit, 49, 2495, 3901.6875
dispute, 47, 1412,
deposit, 9, 2496, 548.6640
deposit, 2, 2497, 630.6180
deposit, 1, 2498, 3836.9248
deposit, 44, 2499, 4149.1788
deposit, 39, 2500, 3687.1578
deposit, 19, 2501, 1411.1169
deposit, 28, 2502, 1238.7366
deposit, 33, 2503, 934.3013
deposit, 8, 2504, 4320.8340
deposit, 16, 2505, 3331.6523
dispute, 31, 989,
withdrawal, 13, 2506, 4962.7583
deposit, 41, 2507, 743.6306
deposit, 26, 2508, 191.8323
withdrawal, 10, 2509, 2131.5149
deposit, 6, 2510, 4321.7506
withdrawal, 34, 2511, 1532.2298
deposit, 15, 2512, 1108.8763
withdrawal, 4, 2513, 2549.3185
deposit, 20, 2514, 550.2748
deposit, 23, 2515, 3557.9280
deposit, 4, 2516, 908.7582
deposit, 43, 2517, 3723.7735
withdrawal, 31, 2518, 1400.7968
deposit, 28, 2519, 924.2001
deposit, 24, 2520, 1671.4108
withdrawal, 43, 2521, 68.3080
withdrawal, 9, 2522, 1656.0587
withdrawal, 24, 2523, 3714.6601
withdrawal, 39, 2524, 1857.9615
deposit, 14, 2525, 2921.6361
withdrawal, 7, 2526, 652.4271
deposit, 8, 2527, 205.1948
deposit, 42, 2528, 4087.0458
deposit, 29, 2529, 4627.5032
deposit, 35, 2530, 3095.0519
deposit, 31, 2531, 4948.2231
deposit, 47, 2532, 768.3618
deposit, 27, 2533, 2752.4785
resolve, 49, 1539,
withdrawal, 24, 2534, 2242.4112
deposit, 28, 2535, 338.5426
deposit, 33, 2536, 3954.4259
deposit, 18, 2537, 3483.5312
deposit, 3, 2538, 4779.0146
dispute, 45, 1774,
withdrawal, 44, 2539, 2662.3493
dispute, 5, 1123,
deposit, 36, 2540, 3896.8609
deposit, 18, 2541, 1034.6231
withdrawal, 37, 2542, 1089.0387
withdrawal, 33, 2543, 2277.2050
dispute, 34, 663,
deposit, 46, 2544, 1342.5733
deposit, 15, 2545, 228.0624
deposit, 3, 2546, 3198.0768
deposit, 18, 2547, 4636.2398
deposit, 4, 2548, 3212.0657
deposit, 14, 2549, 2672.9747
deposit, 23, 2550, 3163.4144
withdrawal, 21, 2551, 416.2309
deposit, 36, 2552, 1320.1910
deposit, 40, 2553, 1474.4768
dispute, 41, 454,
deposit, 47, 2554, 4826.1373
chargeback, 2, 1629,
deposit, 47, 2555, 3728.8490
withdrawal, 42, 2556, 1286.7259
dispute, 39, 955,
withdrawal, 21, 2557, 1343.9676
deposit, 49, 2558, 1977.3171
deposit, 47, 2559, 3631.4306
deposit, 31, 2560, 468.4554
deposit, 12, 2561, 4077.9900
withdrawal, 37, 2562, 2452.5920
deposit, 42, 2563, 1410.2213
withdrawal, 12, 2564, 4087.4960
deposit, 13, 2565, 347.2707
withdrawal, 16, 2566, 2275.1209
withdrawal, 26, 2567, 501.1691
deposit, 47, 2568, 3752.2210
deposit, 7, 2569, 1889.3757
withdrawal, 1, 2570, 3817.2288
dispute, 3, 458,
withdrawal, 10, 2571, 4692.9920
deposit, 1, 2572, 4788.0885
dispute, 48, 572,
dispute, 13, 2134,
withdrawal, 11, 2573, 1536.9250
withdrawal, 16, 2574, 279.3776
deposit, 41, 2575, 2718.0646
deposit, 3, 2576, 514.0766
deposit, 33, 2577, 4432.2844
deposit, 1, 2578, 4560.8348
deposit, 28, 2579, 1926.9153
dispute, 19, 1279,
dispute, 44, 573,
deposit, 32, 2580, 847.7954
deposit, 7, 2581, 4782.3324
deposit, 5, 2582, 3078.4839
withdrawal, 6, 2583, 4477.9325
